afganistan,kabul,asia
albania,tirana,europa
alemania,berlin,europa
andorra,andorra la vieja,europa
angola,luanda,africa
antigua y barbuda,saint john,america
arabia saudita,riad,asia
argelia,argel,africa
argentina,buenos aires,america
armenia,erevan,asia
australia,canberra,oceania
austria,viena,europa
azerbaiyan,baku,asia
bahamas,nasau,america
banglades,daca,asia
barbados,bridgetown,america
barein,manama,asia
belgica,bruselas,europa
belice,belmopan,america
benin,porto-novo,africa
bielorrusia,minsk,europa
birmania,naipyido,asia
bolivia,sucre,america
bosnia-herzegovina,sarajevo,europa
botsuana,gaborone,africa
brasil,brasilia,america
brunei,bandar seri begawan,asia
bulgaria,sofia,europa
burkina faso,uagadugu,africa
burundi,buyumbura,africa
butan,thimphu,asia
cabo verde,praia,africa
camboya,nom pen,asia
camerun,yaunde,africa
canada,ottawa,america
catar,doha,asia
chad,yamena,africa
chile,santiago,america
china,pekin,asia
chipre,nicosia,europa
colombia,bogota,america
comoras,moroni,africa
congo,brazzaville,africa
corea del norte,pionyang,asia
corea del sur,seul,asia
costa de marfil,yamusukro,africa
costa rica,san jose,america
croacia,zagreb,europa
cuba,la habana,america
dinamarca,copenhague,europa
dominica,roseau,america
ecuador,quito,america
egipto,el cairo,africa
el salvador,san salvador,america
emiratos arabes unidos,abu dabi,asia
eritrea,asmara,africa
eslovaquia,bratislava,europa
eslovenia,liubliana,europa
españa,madrid,europa
estados unidos,washington d. c.,america
estonia,tallin,europa
esuatini,mbabane,africa
etiopia,adis abeba,africa
filipinas,manila,asia
finlandia,helsinki,europa
fiyi,suva,oceania
francia,paris,europa
gabon,libreville,africa
gambia,banjul,africa
georgia,tiflis,asia
ghana,accra,africa
granada,saint george,america
grecia,atenas,europa
guatemala,guatemala,america
guinea,conakri,africa
guinea ecuatorial,malabo,africa
guinea-bisau,bisau,africa
guyana,georgetown,america
haiti,puerto principe,america
honduras,tegucigalpa,america
hungria,budapest,europa
india,nueva delhi,asia
indonesia,yakarta,asia
irak,bagdad,asia
iran,teheran,asia
irlanda,dublin,europa
islandia,reikiavik,europa
islas marshall,majuro,oceania
islas salomon,honiara,oceania
israel,jerusalen,asia
italia,roma,europa
jamaica,kingston,america
japon,tokio,asia
jordania,aman,asia
kazajistan,astana,asia
kenia,nairobi,africa
kirguistan,biskek,asia
kiribati,tarawa,oceania
kosovo,pristina,europa
kuwait,kuwait city,asia
laos,vientian,asia
lesoto,maseru,africa
letonia,riga,europa
libano,beirut,asia
liberia,monrovia,africa
libia,tripoli,africa
liechtenstein,vaduz,europa
lituania,vilna,europa
luxemburgo,luxemburgo,europa
macedonia del norte,skopie,europa
madagascar,antananarivo,africa
malasia,kuala lumpur,asia
malaui,lilongüe,africa
maldivas,male,asia
mali,bamako,africa
malta,la valeta,europa
marruecos,rabat,africa
mauricio,port louis,africa
mauritania,nuakchot,africa
mexico,mexico,america
micronesia,palikir,oceania
moldavia,chisinau,europa
monaco,monaco,europa
mongolia,ulan bator,asia
montenegro,podgorica,europa
mozambique,maputo,africa
namibia,windhoek,africa
nauru,yaren,oceania
nepal,katmandu,asia
nicaragua,managua,america
niger,niamey,africa
nigeria,abuya,africa
noruega,oslo,europa
nueva zelanda,wellington,oceania
oman,mascate,asia
paises bajos,amsterdam,europa
pakistan,islamabad,asia
palaos,melekeok,oceania
palestina,jerusalen este,asia
panama,panama,america
papua nueva guinea,puerto moresby,oceania
paraguay,asuncion,america
peru,lima,america
polonia,varsovia,europa
portugal,lisboa,europa
reino unido,londres,europa
republica centroafricana,bangui,africa
republica checa,praga,europa
republica democratica del congo,kinsasa,africa
republica dominicana,santo domingo,america
ruanda,kigali,africa
rumania,bucarest,europa
rusia,moscu,europa
samoa,apia,oceania
san cristobal y nieves,basseterre,america
san marino,san marino,europa
san vicente y las granadinas,kingstown,america
santa lucia,castries,america
santo tome y principe,santo tome,africa
senegal,dakar,africa
serbia,belgrado,europa
seychelles,victoria,africa
sierra leona,freetown,africa
singapur,singapur,asia
siria,damasco,asia
somalia,mogadiscio,africa
sri lanka,sri jayawardenapura kotte,asia
sudafrica,pretoria,africa
sudan,jartum,africa
sudan del sur,yuba,africa
suecia,estocolmo,europa
suiza,berna,europa
surinam,paramaribo,america
tailandia,bangkok,asia
taiwan,taipei,asia
tanzania,dodoma,africa
tayikistan,dusambe,asia
timor oriental,dili,oceania
togo,lome,africa
tonga,nukualofa,oceania
trinidad y tobago,puerto españa,america
tunez,tunez,africa
turkmenistan,asjabad,asia
turquia,ankara,asia
tuvalu,funafuti,oceania
ucrania,kiev,europa
uganda,kampala,africa
uruguay,montevideo,america
uzbekistan,taskent,asia
vanuatu,port vila,oceania
vaticano,vaticano,europa
venezuela,caracas,america
vietnam,hanoi,asia
yemen,sana,asia
yibuti,yibuti,africa
zambia,lusaka,africa
zimbabue,harare,africa
